map_LCIn1-0_LTW0-0_NR-1,0:00:02.144845
map_LCIn1-0_LTW0-0_NR-H1,0:00:11.368350
map_LCIn1-0_LTW0-0_NR-W1,0:00:17.598835
map_LCIn1-0_LTW0-0_NR-H2,0:00:05.835308
map_LCIn1-0_LTW0-0_NR-W2,0:00:09.437016
map_LCIn1-0_LTW0-0_NR-H3,0:00:04.094244
map_LCIn1-0_LTW0-0_NR-W3,0:00:08.383240
map_LCIn1-0_LTW0-0_NR-H4,0:00:03.102726
map_LCIn1-0_LTW0-0_NR-W4,0:00:05.966941
map_LCIn1-0_LTW0-0_NR-H5,0:00:04.005764
map_LCIn1-0_LTW0-0_NR-W5,0:00:04.138550
map_LCIn1-0_LTW0-0_NR-H6,0:00:03.418809
map_LCIn1-0_LTW0-0_NR-W6,0:00:03.433114
map_LCIn1-0_LTW0-0_NR-H7,0:00:03.130689
map_LCIn1-0_LTW0-0_NR-W7,0:00:04.969229
map_LCIn1-0_LTW0-0_NR-H8,0:00:03.215128
map_LCIn1-0_LTW0-0_NR-W8,0:00:03.220425
map_LCIn1-0_LTW0-0_NR-H9,0:00:03.507427
map_LCIn1-0_LTW0-0_NR-W9,0:00:03.093352
map_LCIn1-0_LTW0-0_NR-H10,0:00:02.536994
map_LCIn1-0_LTW0-0_NR-W10,0:00:03.996786
map_LCIn1-0_LTW0-1_NR-1,0:00:03.359910
map_LCIn1-0_LTW0-1_NR-H1,0:00:10.252716
map_LCIn1-0_LTW0-1_NR-W1,0:00:18.694662
map_LCIn1-0_LTW0-1_NR-H2,0:00:05.070019
map_LCIn1-0_LTW0-1_NR-W2,0:00:11.370613
map_LCIn1-0_LTW0-1_NR-H3,0:00:04.821071
map_LCIn1-0_LTW0-1_NR-W3,0:00:07.441459
map_LCIn1-0_LTW0-1_NR-H4,0:00:03.767831
map_LCIn1-0_LTW0-1_NR-W4,0:00:06.377700
map_LCIn1-0_LTW0-1_NR-H5,0:00:03.598291
map_LCIn1-0_LTW0-1_NR-W5,0:00:04.510681
map_LCIn1-0_LTW0-1_NR-H6,0:00:03.240734
map_LCIn1-0_LTW0-1_NR-W6,0:00:03.291599
map_LCIn1-0_LTW0-1_NR-H7,0:00:03.101467
map_LCIn1-0_LTW0-1_NR-W7,0:00:03.972046
map_LCIn1-0_LTW0-1_NR-H8,0:00:02.685215
map_LCIn1-0_LTW0-1_NR-W8,0:00:04.356229
map_LCIn1-0_LTW0-1_NR-H9,0:00:03.872507
map_LCIn1-0_LTW0-1_NR-W9,0:00:02.892650
map_LCIn1-0_LTW0-1_NR-H10,0:00:03.038437
map_LCIn1-0_LTW0-1_NR-W10,0:00:02.631590
map_LCIn1-0_LTW0-2_NR-1,0:00:03.447629
map_LCIn1-0_LTW0-2_NR-H1,0:00:10.675179
map_LCIn1-0_LTW0-2_NR-W1,0:00:19.237881
map_LCIn1-0_LTW0-2_NR-H2,0:00:05.607038
map_LCIn1-0_LTW0-2_NR-W2,0:00:09.716868
map_LCIn1-0_LTW0-2_NR-H3,0:00:04.419205
map_LCIn1-0_LTW0-2_NR-W3,0:00:07.005785
map_LCIn1-0_LTW0-2_NR-H4,0:00:04.004080
map_LCIn1-0_LTW0-2_NR-W4,0:00:05.325415
map_LCIn1-0_LTW0-2_NR-H5,0:00:03.355650
map_LCIn1-0_LTW0-2_NR-W5,0:00:04.469866
map_LCIn1-0_LTW0-2_NR-H6,0:00:04.385479
map_LCIn1-0_LTW0-2_NR-W6,0:00:03.269263
map_LCIn1-0_LTW0-2_NR-H7,0:00:03.006853
map_LCIn1-0_LTW0-2_NR-W7,0:00:03.449360
map_LCIn1-0_LTW0-2_NR-H8,0:00:02.565038
map_LCIn1-0_LTW0-2_NR-W8,0:00:03.745393
map_LCIn1-0_LTW0-2_NR-H9,0:00:02.510103
map_LCIn1-0_LTW0-2_NR-W9,0:00:03.497787
map_LCIn1-0_LTW0-2_NR-H10,0:00:03.703686
map_LCIn1-0_LTW0-2_NR-W10,0:00:02.612796
map_LCIn1-0_LTW0-3_NR-1,0:00:03.156179
map_LCIn1-0_LTW0-3_NR-H1,0:00:10.106648
map_LCIn1-0_LTW0-3_NR-W1,0:00:21.347825
map_LCIn1-0_LTW0-3_NR-H2,0:00:05.938745
map_LCIn1-0_LTW0-3_NR-W2,0:00:10.183748
